System Timestamp,GPS Timestamp,Latitude,Longitude,Heading Angle,filename
06:26.1,22/09/2024 11:06,58.3896136,26.7288417,313.35186,7148
06:27.1,22/09/2024 11:06,58.3896492,26.7287824,321.9442,7172
06:28.1,22/09/2024 11:06,58.3896838,26.7287254,318.30558,7196
06:29.1,22/09/2024 11:06,58.3897146,26.728671,316.64698,7220
06:30.1,22/09/2024 11:06,58.3897426,26.728614,311.03778,7244
06:31.1,22/09/2024 11:06,58.3897632,26.7285578,300.44746,7268
06:32.1,22/09/2024 11:06,58.3897728,26.7285058,282.77472,7292
06:33.1,22/09/2024 11:06,58.3897754,26.7284503,272.0301,7316
06:34.1,22/09/2024 11:06,58.3897776,26.7283894,274.21544,7340
06:35.1,22/09/2024 11:06,58.3897889,26.7283244,293.32452,7364
06:36.1,22/09/2024 11:06,58.3898131,26.7282621,311.36942,7388
06:37.1,22/09/2024 11:06,58.3898428,26.7281988,311.95368,7412
06:38.1,22/09/2024 11:06,58.3898721,26.7281282,306.95012,7436
06:39.1,22/09/2024 11:06,58.3898985,26.7280545,303.16454,7460
06:40.1,22/09/2024 11:06,58.3899246,26.7279776,302.7798,7484
06:41.1,22/09/2024 11:06,58.38995,26.7279006,302.1134,7508
06:42.1,22/09/2024 11:06,58.3899755,26.7278282,303.94326,7532
06:43.1,22/09/2024 11:06,58.3900021,26.7277601,308.20016,7556
06:44.1,22/09/2024 11:06,58.3900282,26.7276943,306.6824,7580
06:45.1,22/09/2024 11:06,58.3900544,26.7276234,304.01768,7604
06:46.1,22/09/2024 11:06,58.3900775,26.7275496,299.60156,7628
06:47.1,22/09/2024 11:06,58.3901013,26.727474,301.66916,7652
06:48.1,22/09/2024 11:06,58.3901281,26.7273976,304.3419,7676
06:49.1,22/09/2024 11:06,58.3901555,26.7273213,304.35668,7700
06:50.1,22/09/2024 11:06,58.3901825,26.7272466,304.80886,7724
06:51.1,22/09/2024 11:06,58.3902091,26.7271711,303.2395,7748
06:52.1,22/09/2024 11:06,58.390236,26.7270946,303.90044,7772
06:53.1,22/09/2024 11:06,58.3902646,26.7270177,305.65458,7796
06:54.1,22/09/2024 11:06,58.3902933,26.7269397,304.55136,7820
06:55.1,22/09/2024 11:06,58.3903223,26.7268615,304.87922,7844
06:56.1,22/09/2024 11:06,58.3903518,26.7267832,306.06748,7868
06:57.1,22/09/2024 11:06,58.3903804,26.7267047,304.11996,7892
06:58.1,22/09/2024 11:06,58.3904079,26.7266254,303.16984,7916
06:59.1,22/09/2024 11:06,58.3904353,26.726548,304.24792,7940
07:00.1,22/09/2024 11:07,58.3904625,26.726474,305.45822,7964
07:01.1,22/09/2024 11:07,58.3904882,26.7264012,303.0938,7988
07:02.1,22/09/2024 11:07,58.3905135,26.7263253,302.31004,8012
07:03.1,22/09/2024 11:07,58.3905399,26.7262493,304.47522,8036
07:04.1,22/09/2024 11:07,58.3905663,26.7261732,304.81172,8060
07:05.1,22/09/2024 11:07,58.3905936,26.7260992,305.25198,8084
07:06.1,22/09/2024 11:07,58.3906221,26.7260253,306.63558,8108
07:07.1,22/09/2024 11:07,58.3906494,26.7259529,305.09406,8132
07:08.1,22/09/2024 11:07,58.3906765,26.7258771,303.61054,8156
07:09.1,22/09/2024 11:07,58.3907038,26.7257977,303.22972,8180
07:10.1,22/09/2024 11:07,58.3907317,26.7257182,303.59916,8204
07:11.1,22/09/2024 11:07,58.3907587,26.7256379,302.5293,8228
07:12.1,22/09/2024 11:07,58.3907862,26.7255591,304.05958,8252
07:13.1,22/09/2024 11:07,58.3908138,26.7254811,303.9041,8276
07:14.1,22/09/2024 11:07,58.3908416,26.7254028,304.12912,8300
07:15.1,22/09/2024 11:07,58.3908695,26.7253231,303.51874,8324
07:16.1,22/09/2024 11:07,58.3908982,26.7252444,305.2195,8348
07:17.1,22/09/2024 11:07,58.3909267,26.725166,304.6244,8372
07:18.1,22/09/2024 11:07,58.3909542,26.7250862,302.84668,8396
07:19.1,22/09/2024 11:07,58.3909807,26.7250071,302.46094,8420
07:20.1,22/09/2024 11:07,58.3910074,26.7249322,305.28968,8444
07:21.1,22/09/2024 11:07,58.391034,26.7248597,304.63302,8468
07:22.1,22/09/2024 11:07,58.3910597,26.7247877,304.09582,8492
07:23.1,22/09/2024 11:07,58.3910838,26.7247166,302.3698,8516
07:24.1,22/09/2024 11:07,58.3911089,26.7246448,303.85668,8540
07:25.1,22/09/2024 11:07,58.391135,26.7245742,305.42774,8564
07:26.1,22/09/2024 11:07,58.3911584,26.7245057,301.5879,8588
07:27.1,22/09/2024 11:07,58.391177,26.724446,299.78206,8612
07:28.1,22/09/2024 11:07,58.3911953,26.7243948,306.22382,8636
07:29.1,22/09/2024 11:07,58.391214,26.724364,327.53396,8660
07:30.1,22/09/2024 11:07,58.3912303,26.724347,334.02764,8684
07:31.1,22/09/2024 11:07,58.3912427,26.7243151,296.87452,8708
07:32.1,22/09/2024 11:07,58.3912542,26.7242663,292.53602,8732
07:33.1,22/09/2024 11:07,58.391268,26.7242094,295.27298,8756
07:34.1,22/09/2024 11:07,58.3912855,26.7241476,299.1332,8780
